id,provider,pack,category,license,formats,status,priority,style_fit,use_for,source_url,decision
CAND-Q-SHIPS,Quaternius,Ships Pack,water;props,CC0,FBX;OBJ,CATALOG,P2,good,river village;docks;rafts,https://quaternius.com/,Prefer small craft; skip cruise ship and anachronisms
CAND-Q-FOOD,Quaternius,Ultimate Food Pack,food;props,CC0,FBX;OBJ,CATALOG,P1,excellent,camp kitchen;village market;inventory icons,https://quaternius.com/,Good close-range storytelling and loot source
CAND-Q-RPG,Quaternius,Ultimate RPG Pack,weapons;loot,CC0,FBX;OBJ,CATALOG,P2,good,chests;rewards;market;dungeon,https://quaternius.com/,Existing Fantasy Props likely covers most; audit before download
CAND-Q-STYLIZED-NATURE,Quaternius,Ultimate Stylized Nature Pack,vegetation,CC0,FBX;OBJ,CATALOG,P2,excellent,biome variation;hero trees,https://quaternius.com/,Potential duplicate of existing MegaKit; use only for missing silhouettes
CAND-KK-HEX,KayKit,Medieval Hexagon Pack,architecture;terrain,CC0,glTF;FBX;OBJ,CATALOG,P1,excellent,village;farm;roadside clusters,https://kaylousberg.itch.io/kaykit-medieval-hexagon,200+ assets but hex bases may read as board game; detach only useful structures
CAND-KK-DUNGEON,KayKit,Dungeon Pack Remastered,dungeon,CC0,glTF;FBX,CATALOG,P1,excellent,citadel;crypt;mine,https://kaylousberg.itch.io/kaykit-dungeon-pack,Compare with legacy pack already deposited
CAND-KK-FOREST,KayKit,Forest Nature Pack,vegetation,CC0,glTF;FBX,CATALOG,P1,excellent,forest;storm grove;ancient tree;riverbanks,https://kaylousberg.itch.io/kaykit-forest,Strong style fit; manual free download flow
CAND-KK-ADVENTURERS,KayKit,Character Pack Adventurers,characters,CC0,glTF;FBX,CATALOG,P2,good,NPC prototypes;guards;travellers,https://kaylousberg.itch.io/kaykit-adventurers,Do not replace original hero or production raiders
CAND-KK-SKELETONS,KayKit,Character Pack Skeletons,characters;enemy,CC0,glTF;FBX,CATALOG,P3,good,crypt;dungeon,https://kaylousberg.itch.io/kaykit-skeletons,Would create a new enemy family; defer until authorized
CAND-KK-ANIM,KayKit,Character Animations,animation,CC0,glTF;FBX,CATALOG,P0,excellent,161 locomotion;combat;work;fishing;digging animations,https://kaylousberg.itch.io/kaykit-character-animations,Excellent for life pass; retarget compatibility must be proven
CAND-KK-TOOLS,KayKit,RPG Tools Bits,props,CC0,glTF;FBX;OBJ,CATALOG,P0,excellent,mine;farm;smithy;camp;village activities,https://kaylousberg.itch.io/rpg-tools-bits,45+ tools pair with KayKit work animations
CAND-KK-WEAPONS,KayKit,Fantasy Weapons Bits,weapons,CC0,glTF;FBX;OBJ,CATALOG,P2,excellent,loot;guards;camp weapon racks,https://kaylousberg.itch.io/fantasy-weapons-bits,Use decoration first; gameplay weapons need data and sockets
CAND-KK-RESOURCE,KayKit,Resource Bits,props;resources,CC0,glTF;FBX;OBJ,CATALOG,P1,excellent,mine;market;camp storage;crafting clusters,https://kaylousberg.itch.io/resource-bits,Strong meso-detail candidate
CAND-KK-FURNITURE,KayKit,Furniture Bits,interior;props,CC0,glTF;FBX;OBJ,CATALOG,P1,excellent,houses;citadel rooms;camp rest area,https://kaylousberg.itch.io/furniture-bits,Use only in enterable or visible interiors
CAND-KK-CITY,KayKit,City Builder Bits,architecture;props,CC0,glTF;FBX;OBJ,CATALOG,P3,mixed,village props;signs;street dressing,https://kaylousberg.itch.io/kaykit-city-builder-bits,Modern city content mostly unsuitable; curate manually
CAND-KK-HALLOWEEN,KayKit,Halloween Bits,graveyard;props,CC0,glTF;FBX;OBJ,CATALOG,P2,good,barrow cemetery;crypt;storm grove,https://kaylousberg.itch.io/halloween-bits,Compare with landed Graveyard kit; avoid comic pumpkins
CAND-K-INPUT,Kenney,Input Prompts,UI,CC0,PNG;SVG;fonts,CATALOG,P0,good,keyboard;mouse;generic controller;touch prompts,https://kenney.nl/assets/input-prompts,Curate only generic and keyboard/mouse; repository forbids Nintendo content
CAND-K-UI-ADV,Kenney,UI Pack Adventure,UI,CC0,PNG;SVG,CATALOG,P1,good,pause;inventory;settings;dialogue,https://kenney.nl/assets/ui-pack-adventure,Use borders and controls only after UI art-direction comparison
CAND-K-UI-RPG,Kenney,UI Pack RPG Expansion,UI,CC0,PNG;SVG,CATALOG,P2,mixed,inventory slots;item frames;maps,https://kenney.nl/assets/ui-pack-rpg-expansion,Older style; likely requires repaint
CAND-K-BUILDING,Kenney,Building Kit,architecture,CC0,GLB;glTF,CATALOG,P2,good,village modules;bridges;interiors,https://kenney.nl/assets/building-kit,Audit overlap with Fantasy Town and Quaternius village
CAND-K-FURNITURE,Kenney,Furniture Kit,interior;props,CC0,GLB;glTF,CATALOG,P2,good,village interiors;citadel;camp,https://kenney.nl/assets/furniture-kit,Useful only if interiors become visible
CAND-K-MOD-DUNGEON,Kenney,Modular Dungeon Kit,dungeon,CC0,GLB;glTF,CATALOG,P2,good,citadel rooms;crypt,https://kenney.nl/assets/modular-dungeon-kit,Third dungeon kit; compare before adding
CAND-K-IMPACT,Kenney,Impact Sounds,audio,CC0,OGG,CATALOG,P0,neutral,combat;rocks;wood;destruction,https://kenney.nl/assets/impact-sounds,Download only after auditing existing placeholder replacements
CAND-K-UI-AUDIO,Kenney,UI Audio,audio,CC0,OGG,CATALOG,P2,neutral,inventory;pause;menu,https://kenney.nl/assets/ui-audio,Overlaps landed Interface Sounds; audition first
CAND-PH-ROCKS,Poly Haven,Rocks models,terrain;rocks,CC0,Blend;FBX;glTF,CATALOG,P2,low,hero boulders;cliff bake source,https://polyhaven.com/models/nature/rocks,Realistic and heavy; use low LOD or bake into painterly derivatives
CAND-PH-DEADWOOD,Poly Haven,Dead trunks and logs,vegetation,CC0,Blend;FBX;glTF,CATALOG,P2,medium,storm grove;forest floor;riverbanks,https://polyhaven.com/models/nature/wood,Curate only assets with practical LODs
CAND-PH-PLANTS,Poly Haven,Plants and grass,vegetation,CC0,Blend;FBX;glTF,CATALOG,P3,low,hero close-ups only,https://polyhaven.com/models/nature/plants,Too realistic and dense for mass scattering
CAND-PH-HDRI,Poly Haven,HDRIs,lighting,CC0,HDR;EXR,CATALOG,P3,low,lighting reference;lookdev lab,https://polyhaven.com/hdris,Never use to hide geometry or replace authored sky system
CAND-ACG-SURFACES,ambientCG,Additional ground rock wood roof surfaces,materials,CC0,PNG;JPG,CATALOG,P1,medium,terrain;cliffs;village;citadel;props,https://ambientcg.com/list,Downsample to 1K and repaint/control PBR as existing recipe requires
TOOL-TERRAIN3D,TokisanGames,Terrain3D,tool,MIT,GDExtension;Godot addon,CATALOG,P0,high,512x512 terrain sculpting;painting;foliage;LOD,https://github.com/TokisanGames/Terrain3D,Tool candidate only; native binaries and Godot 4.7.1 compatibility require isolated proof
TOOL-ROAD,TheDuckCow,Godot Road Generator,tool,MIT,Godot addon,CATALOG,P2,medium,roads;paths;splines,https://github.com/TheDuckCow/godot-road-generator,Do not install until Terrain3D and path approach are decided
REJECT-NINTENDO,Various,Nintendo ripped or fan assets,prohibited,unusable,various,REJECTED,BLOCKED,none,none,https://github.com/,Never search download or commit; project invariant
REJECT-MIXED,Sketchfab and random mirrors,Mixed-license marketplace results,mixed,mixed,various,REJECTED,BLOCKED,unknown,none,https://sketchfab.com/,No bulk import; each item would need author and redistribution review
REJECT-PAID,Commercial marketplaces,Synty Fab Unity Asset Store packs,paid;restricted,various,REJECTED,BLOCKED,mixed,none,https://www.fab.com/,Not placed in public GitHub; purchase and redistribution restrictions
REJECT-AI,Various,Generated asset dumps,unknown,unknown,various,REJECTED,BLOCKED,unknown,none,N/A,No clear provenance geometry quality or redistribution chain
