identifiant,source_audit,categorie,emplacement,description,preuve_audit,cause_reelle,dans_10_premieres_minutes,lot,statut,test_associe,capture_avant,capture_apres,commit,justification_report
V-010,DEFAUTS_PRIORISES.csv,P1/Composition,Composition,Plans et focales fusionnent par valeurs trop claires,Grille oblique; vues de départ,"couleurs PEINTES de §3.4 posées en ALBÉDO (gain lumineux 1,4-1,8 ignoré — rechute ISS-037) ; sol plus clair que le ciel",OUI (les 6 caméras),A,CORRIGÉ,tools/check_value_bands.py : code 1 -> 0 sur 4 caméras/6 (les 2 restantes n'ont pas de ciel dans le bandeau mesuré),evidence/vertical_slice_20260811/avant/01..06_*.png,evidence/vertical_slice_20260811/apres/01..06_*.png,0f76f02,mesure automatique avant/après ; l'étagement franc (§1.3) reste travail du lot E
V-011,DEFAUTS_PRIORISES.csv,P1/Densité,Densité,Périphérie très pauvre visuellement,25/64 cellules sous 20 Node3D; 36/64 sans contenu classé,"contenu concentré au centre, plaines de bord nues",NON (périphérie),hors tranche,REPORTÉ AU BACKLOG,—,carte_densite_64m.png + inventaire_monde.json,—,—,remplir la périphérie est explicitement hors objectif de la tranche
V-012,DEFAUTS_PRIORISES.csv,P1/Vie,Vie,Monde peu habité à l'échelle 512x512,12 ennemis; journal runtime 14 objets de vie,"12 ennemis, 14 objets de vie pour 512x512 m",PARTIEL (la vie du CAMP),D (camp) ; reste du monde : backlog,À TRAITER,—,inventaire_monde.json,—,—,"SCINDÉ : la vie du CAMP est due au lot D — réévaluation étape 6 : 2 pillards, enclume, bancs, cible, bannière, fumée mesurée +39,7 ; c'est un état HONNÊTE, pas un idéal. La vie du reste du monde (périphérie, routes) reste au backlog"
UI-001,DEFAUTS_PRIORISES.csv,P1/Options,Options,Options/Commandes déborde en 720p,Layout 775 px dans viewport 720 px; texte bas coupé,"layout Options exige 775 px dans 720 px, sans ScrollContainer",NON (écran d'options),"F (étape 9, conditionnel)",À TRAITER,test de bornes à écrire avec le correctif,interfaces/04_options_depuis_menu.png (audit),—,—,lot F autorisé seulement si A-E verts
UI-002,DEFAUTS_PRIORISES.csv,P1/Manette,Manette,L'écran affirme Manette prise en charge sans test humain,Capture Options; STATUS.md manette bloquée,texte statique « Manette prise en charge » plus fort que la preuve (test humain manette BLOQUÉ),NON,"F (étape 9, conditionnel)",À TRAITER,—,interfaces/04_options_depuis_menu.png (audit),—,—,reformulation honnête prévue au lot F
UI-003,DEFAUTS_PRIORISES.csv,P1/Options,Options,Options obligatoires absentes,Capture et options_panel.gd,écran limité à sensibilité/inversion/volumes,NON,hors tranche,REPORTÉ AU BACKLOG,—,interfaces/04 (audit),—,—,prompt de reprise : ne pas construire de nouveaux écrans dans cette session
UI-004,DEFAUTS_PRIORISES.csv,P1/Inventaire,Inventaire,Inventaire limité aux armes,Captures inventaire initial/rempli; gameplay_shell.gd,UI n'itère que MAX_WEAPONS,NON,hors tranche,REPORTÉ AU BACKLOG,—,interfaces/10+12 (audit),—,—,idem — aucun nouvel inventaire dans cette session
UI-005,DEFAUTS_PRIORISES.csv,P1/Carte_Journal,Carte_Journal,33 découvertes sans écran consultable,DiscoveryLog existe; aucune scène/action carte ou journal,DiscoveryLog sans présentation,NON,hors tranche,REPORTÉ AU BACKLOG,—,audit UI-005,—,—,carte/journal explicitement interdits avant le gate
UI-006,DEFAUTS_PRIORISES.csv,P1/Menu,Menu,Menu principal ne montre pas le jeu,Trois captures du menu,fond ColorRect uniforme,NON,hors tranche,REPORTÉ AU BACKLOG,—,interfaces/01..03 (audit),—,—,écran hors des dix minutes jouées
UI-007,DEFAUTS_PRIORISES.csv,P1/Victoire,Victoire,Conclusion visuelle presque abstraite,Trois captures victoire,écran texte sur fond sombre,NON,hors tranche,REPORTÉ AU BACKLOG,—,interfaces/17..19 (audit),—,—,hors périmètre de la tranche
UI-008,DEFAUTS_PRIORISES.csv,P2/Cuisine,Cuisine,Cuisine fonctionnelle mais très textuelle et isolée en haut-gauche,Captures vide/remplie/recette,panneau textuel sans icônes,NON,hors tranche,REPORTÉ AU BACKLOG,—,interfaces/11..14 (audit),—,—,hors périmètre
UI-009,DEFAUTS_PRIORISES.csv,P2/Pause,Pause,Notifications et carte d'arme restent actives derrière la pause,Capture menu pause,HUD non atténué derrière la pause,NON,hors tranche,REPORTÉ AU BACKLOG,—,interfaces/08 (audit),—,—,hors périmètre
T-001,DEFAUTS_PRIORISES.csv,P1/Tests,Tests,Test de bouton désactivé peut exécuter zéro assertion,Lot groupé 72 PASS/1 FAIL; menu isolé 10 PASS,état de sauvegarde non réinitialisé avant le test des boutons désactivés,NON,hors tranche,REPORTÉ AU BACKLOG,test_disabled_buttons_are_not_focusable (le test fautif lui-même),tests_interfaces_sauvegarde.log (audit),—,—,défaut de déterminisme de test consigné par l'audit ; à corriger dans une passe tests dédiée
T-002,DEFAUTS_PRIORISES.csv,P2/Tests,Tests,Des runs ciblés quittent avec 2 instances et 1 ressource audio encore en usage,Journaux UI/menu et sondages,AudioManager conserve l'ambiance en fin de run ciblé,NON,hors tranche,REPORTÉ AU BACKLOG,—,journaux d'audit,—,—,fuite de teardown connue ; hors périmètre visuel
Q-001,DEFAUTS_PRIORISES.csv,P1/Validation,Validation,Ressenti caméra non vérifié humainement,Environnement sans clavier/écran physique,environnement sans écran/clavier — le ressenti caméra ne se mesure pas ici,OUI (toute la tranche),—,BLOQUÉ,—,—,—,—,MANUAL_VALIDATION.md ; limite matérielle de CLAUDE.md — reste NON VÉRIFIÉ
Q-002,DEFAUTS_PRIORISES.csv,P1/Validation,Validation,Audio et manette non vérifiés,Pilote audio dummy; aucun contrôleur physique,"pilote audio dummy, aucun contrôleur physique",OUI,—,BLOQUÉ,—,—,—,—,même limite matérielle — reste NON VÉRIFIÉ
Q-003,DEFAUTS_PRIORISES.csv,P1/Performance,Performance,"FPS, frame pacing et stabilité 60 min non vérifiés",Rendu llvmpipe logiciel; STATUS bloqué,rendu llvmpipe logiciel : jamais une mesure de performance,OUI,—,BLOQUÉ,—,—,—,—,validate_release.sh niveaux 6-7 BLOQUÉS ici par construction
valley.poi.abandoned_farm.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,plaine_sud @ -12;7;80,"Ferme abandonnée — Maison et arbre lisibles, mais grand talus vert et terrain rapporté dominent certains angles",vallee/lieux_360/01_abandoned_farm_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — le talus vert et le terrain rapporté sont dans le cadre de la descente,À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.abandoned_mine.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,hauteurs @ 163;5;-70,Mine abandonnée — Entrée en dalle et murs rectangulaires géants; très peu de géologie,vallee/lieux_360/02_abandoned_mine_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.ancient_aqueduct.01,LIEUX_VERDICTS.csv,lieu/JAUNE_LISIBLE,riviere @ -9;8;10,"Aqueduc ancien — Arches, eau et traversée se comprennent; répétition, surexposition et sol plat restent visibles",vallee/lieux_360/03_ancient_aqueduct_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,"E — l'aqueduc borde le gué (surexposition, sol plat)",À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.ancient_tree.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,plaine_nord @ -96;7;-62,L'Arbre doyen — Groupe central identifiable mais peu monumental et entouré de plaines uniformes,vallee/lieux_360/04_ancient_tree_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.azure_patrol_run.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,plaine_nord @ 78;7;-78,Ronde des pillards azur — Très grands murs unis coupent plusieurs vues et écrasent la rencontre,vallee/lieux_360/05_azure_patrol_run_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.barrow_cemetery.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,plaine_nord @ 58;7;-79,Cimetière du tertre — Volumes bruns massifs masquent le lieu; cimetière peu lisible à distance,vallee/lieux_360/06_barrow_cemetery_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.colossus_lair.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,ravins @ 150;7;-138,"Tanière du colosse des ravins — Anneau rocheux et clairière lisibles, mais vide et générique",vallee/lieux_360/07_colossus_lair_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.conductive_basin.01,LIEUX_VERDICTS.csv,lieu/JAUNE_LISIBLE,riviere @ 16;3;28,"Bassin conducteur — Eau, ponts et bassin forment une composition claire; surfaces encore plates et répétées",vallee/lieux_360/08_conductive_basin_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — le bassin est à 15 m du gué ouest,À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.crystal_hollow.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,ruines @ -141;5;-152,Cavité de cristal — Empilement de dalles brunes sans cavité ou cristal lisible dans la silhouette,vallee/lieux_360/09_crystal_hollow_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.ember_raider_camps.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,prairie_est @ 74;7;113,"Camps des pillards braise — Activité et groupes de props perceptibles, mais encore pris entre grands blocs",vallee/lieux_360/10_ember_raider_camps_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.flower_field.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,plaine_sud @ -34;6;112,Le Champ des mille fleurs — Variation de sol visible mais champ peu spectaculaire et pente verte géante à proximité,vallee/lieux_360/11_flower_field_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — le champ borde la crête de départ (pente verte géante voisine),À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.forest_shrine.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,foret @ 34;6;92,Sanctuaire forestier — Le relief vert coupe les vues; sanctuaire et forêt ne forment pas une silhouette claire,vallee/lieux_360/12_forest_shrine_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — le relief vert du sanctuaire coupe les vues de la descente,À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.hidden_passage.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,hauteurs @ -134;5;120,Passage dérobé de l'Éperon — Entrée tunnel lisible sur un angle seulement; grande coque brune et dalles,vallee/lieux_360/13_hidden_passage_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.hollow_crypt.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,ruines @ -60;5;-92,Crypte oubliée — Petit volume bas générique; façade et identité de crypte insuffisantes,vallee/lieux_360/14_hollow_crypt_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.hunter_range.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,confins_sud_est @ 128;8;150,"Territoire du chasseur — Plateforme minimale dans une plaine, murs et rampes géantes autour",vallee/lieux_360/15_hunter_range_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.logging_hamlet.01,LIEUX_VERDICTS.csv,lieu/JAUNE_LISIBLE,foret @ 112;6;44,"Hameau des bûcherons — Bâtiments, bois et bosquet créent un lieu; architecture encore simple et environnement plat",vallee/lieux_360/16_logging_hamlet_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.magnetic_bridge.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,vestiges @ -34;4;44,"Pont magnétique — Pont et canal se comprennent, mais mécanismes en dalles simples et intégration faible",vallee/lieux_360/17_magnetic_bridge_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — le pont magnétique est visible du gué,À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.mining_post.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,falaise @ -67;6;87,Poste minier de la falaise — Murs orange géants dominants; poste réduit à de petits accessoires,vallee/lieux_360/18_mining_post_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.obsidian_bastion.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,contreforts @ -140;7;-60,Bastion des briseurs d'obsidienne — Enclos plat et répétitif devant une falaise unie; bastion sans masse architecturale finale,vallee/lieux_360/19_obsidian_bastion_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.old_rampart.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,route_du_donjon @ -104;7;-138,"Courtine effondrée — Rythme de piliers identifiable, mais modules répétitifs et silhouette très légère",vallee/lieux_360/20_old_rampart_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — la courtine jalonne la route du donjon (caméras 5-6),À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.overlook_summit.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,hauteurs @ 168;12;32,Le Belvédère du guetteur — Tour et escalier formés de gros volumes bruns; domine l'écran comme proxy,vallee/lieux_360/21_overlook_summit_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.riverside_village.01,LIEUX_VERDICTS.csv,lieu/JAUNE_LISIBLE,riviere @ -70;6;40,Village de la rivière — Petit village reconnaissable et eau proche; falaise/plateau brun masque plusieurs angles,vallee/lieux_360/22_riverside_village_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — le village est au bord gauche de la vista,À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.ruined_observatory.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,plaine_sud @ 78;7;127,Observatoire en ruine — Bâtiment central lisible mais trop petit/générique face aux murs environnants,vallee/lieux_360/23_ruined_observatory_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.stone_bridge.01,LIEUX_VERDICTS.csv,lieu/JAUNE_LISIBLE,riviere @ -21;4;10,"L'Arche de pierre — Le pont, les arbres et la rivière composent un lieu clair; finition et variété restent limitées",vallee/lieux_360/24_stone_bridge_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — l'arche de pierre est le paysage du gué,À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.storm_caravan.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,route_du_donjon @ -38;7;-124,"Caravane foudroyée — Cercle brûlé et arbres morts racontent un événement, mais décor sparse et blocs proches",vallee/lieux_360/25_storm_caravan_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — la caravane jalonne la route du donjon,À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.storm_grove.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,orage @ -8;9;-152,Le Bois Courbé — Murs vert et brun remplissent les vues; bosquet presque invisible,vallee/lieux_360/26_storm_grove_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — les murs du bois courbé bordent l'approche,À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.thunderstruck_tree.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,plaine_sud @ -92;9;148,"L'Arbre foudroyé — Arbre noirci reconnaissable, mais micro-POI isolé dans une large plaine",vallee/lieux_360/27_thunderstruck_tree_*.jpg,À DIAGNOSTIQUER (par lieu),OUI,E — l'arbre foudroyé est dans le champ ouest de la vista,À TRAITER,—,—,—,—,"SCINDÉ : la MANIFESTATION VISIBLE depuis le parcours des dix minutes est due au lot indiqué ; la refonte du lieu ENTIER (coque, composition propre) reste une dette de backlog, assumée et distincte"
valley.poi.turquoise_spring.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,falaise @ -72;5;78,"La Source aux reflets — Eau et props existent, mais grande paroi et dalle orange bloquent des angles entiers",vallee/lieux_360/28_turquoise_spring_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.veil_falls.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,cascade @ 150;12;118,"La Chute du Voile — Cascade visible, mais coque orange rectangulaire et rambardes dominent la forme",vallee/lieux_360/29_veil_falls_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.watchers_circle.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,plaine_nord @ -132;8;-28,"Le Cercle des Veilleurs — Cercle de piliers lisible, mais très basique et sans hiérarchie de détails",vallee/lieux_360/30_watchers_circle_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.watchtower_ruin.01,LIEUX_VERDICTS.csv,lieu/ORANGE_PARTIEL,falaise @ -126;19;80,Tour de guet effondrée — Ruine groupée et identifiable; volumes et sommet encore très cubiques,vallee/lieux_360/31_watchtower_ruin_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.waterfall_cave.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,riviere @ -118;5;28,Grotte de la cascade — Entrée prise dans une grande dalle brune; intérieur confirmé comme boîte graybox,vallee/lieux_360/32_waterfall_cave_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
valley.poi.wind_gorge.01,LIEUX_VERDICTS.csv,lieu/ROUGE_BLOCKOUT,gorges @ 68;10;-96,La Gorge du Vent — Parois orange verticales et unies occupent presque tout l'écran,vallee/lieux_360/33_wind_gorge_*.jpg,À DIAGNOSTIQUER (par lieu),NON,hors tranche (POI),REPORTÉ AU BACKLOG,—,—,—,—,hors du chemin des dix premières minutes — refonte du lieu au backlog
dungeon.CitadelVestibule,DONJON_VERDICTS.csv,donjon/ORANGE_PARTIEL,CitadelVestibule,"Entrée, rails cyan et porte lisibles; ambiance distincte | défauts : Sol/plafond très simples, grandes masses sombres et répétition de piliers",interieurs_donjon/donjon/vestibule_*.jpg,À DIAGNOSTIQUER (par salle),NON,hors tranche (donjon),REPORTÉ AU BACKLOG,—,—,—,—,audit : mécanismes cubiques à terminer APRÈS validation de l'ouverture
